Synthetic_Record_ID,Hours_Studied,Attendance_Percent,Sleep_Hours,Assignments_Completed,Distance_From_Home_Miles,Exam_Score
S001,10.2,93,6.3,4,23.3,70
S002,11.3,100,7.3,9,24,77
S003,12.6,76,8,9,25.5,77
S004,5.3,84,6.4,7,17.3,65
S005,5.1,77,5.7,8,20.7,52
S006,2.8,82,6.4,9,4.6,56
S007,13,66,5.2,7,18.8,73
S008,9.5,77,7.5,8,21.4,69
S009,20,82,7.5,6,12.1,82
S010,13.4,78,7.8,10,14.7,75
S011,12.3,70,6,3,9.1,60
S012,10.7,67,5.7,6,1.2,69
S013,18.5,88,7.2,9,29.6,85
S014,5.2,100,7.4,9,6.5,73
S015,8.6,84,6.4,9,18.4,71
S016,7.9,73,7.3,7,8.7,61
S017,6.9,84,7.9,7,2.7,63
S018,6.4,84,5.3,10,15.4,69
S019,12.8,90,7.2,7,22.5,72
S020,14,98,6.7,6,13.9,84
S021,5.9,83,5,10,7.2,66
S022,13.4,82,6.2,6,30,77
S023,13.3,82,7.3,6,11,73
S024,7.4,69,6.4,7,26.6,55
S025,12,73,7.1,8,28.5,73
S026,17.1,98,7.5,3,9.8,79
S027,11.1,90,6.7,8,6.8,77
S028,8.5,74,6,8,0.5,65
S029,12,91,6.6,9,22.2,74
S030,10.9,98,9.2,8,16.6,79
S031,10,89,9.1,8,2.4,76
S032,9.6,75,6.3,10,5,68
S033,2,83,7.8,11,16.2,60
S034,17.8,92,5.9,5,0.9,73
S035,17.4,81,5.7,9,19.9,80
S036,8.4,75,7.4,8,21.8,58
S037,11.2,95,6.5,5,3.1,72
S038,7,78,6.2,10,24.8,60
S039,14.4,76,9.2,10,11.7,81
S040,13,66,6.6,12,5.7,75
S041,13.4,74,6.2,8,27.8,67
S042,15.4,79,5.6,11,5.4,73
S043,4.5,89,7.2,7,15.1,59
S044,13.8,90,7.8,10,22.9,76
S045,6.9,96,7.3,9,11.3,63
S046,16.9,76,5.6,6,17.7,71
S047,2.2,78,5.8,10,12.8,57
S048,11.5,95,4.7,8,14.3,74
S049,8.5,74,6.6,10,25.1,58
S050,7.7,84,7.9,8,16.9,68
S051,10.8,82,7.6,7,18.1,72
S052,10.7,87,7.3,12,2,78
S053,9.7,93,8.3,6,27.4,67
S054,12.5,100,6,12,8,83
S055,13.1,98,5.4,8,26.3,73
S056,17.1,91,6.5,6,3.5,85
S057,9.9,84,6.9,9,15.8,66
S058,14.3,75,7.5,9,12.4,71
S059,9.1,79,5.7,11,10.2,69
S060,4.5,80,7.6,10,27,62
S061,11.3,70,6.3,9,28.9,68
S062,12.3,73,6.2,8,6.1,62
S063,6.7,84,8,10,1.6,66
S064,18.8,64,7,7,9.5,75
S065,10.7,79,5.9,8,3.9,66
S066,10,58,6.5,9,20.3,59
S067,7.5,85,7,8,19.5,65
S068,13.6,99,5.6,8,28.1,80
S069,6.9,100,6.7,11,13.6,70
S070,5.3,90,8.3,12,4.2,69
S071,11.3,90,5.5,9,13.2,73
S072,7.9,87,6,7,25.9,61
S073,9.8,93,6.2,9,10.6,72
S074,9,87,4.7,10,21,72
S075,8.5,82,7.3,4,8.3,58
S076,15.6,84,4.5,7,7.6,70
S077,11.1,91,7,11,29.3,75
S078,11.2,96,5.9,5,23.7,73
S079,13.3,99,7.3,9,24.4,87
S080,3.4,76,6.1,5,19.2,53
