Synthetic_Record_ID,Hours_Studied,Attendance_Pct,Previous_GPA,Assignments_Completed,Quiz_Average,Sleep_Hours,Stress_Level,Commute_Minutes,Social_Hours,Caffeine_Cups,Split,Risk
G5-0001,8.46,89.95,2.55,8,72.82,6.53,4,14.24,7.95,1,train,0
G5-0002,5.57,79.2,1.87,7,64.08,6.17,6,22.21,6.88,1,train,1
G5-0003,7.58,98.91,2.63,7,81.37,8.42,2,43.86,7.58,1,train,0
G5-0004,5.03,72.13,2.02,6,64.85,6.04,9,12.6,7.7,4,train,1
G5-0005,13.92,78.51,3.13,6,81.05,6.05,5,62.46,5.73,1,train,0
G5-0006,7.64,75.43,3.41,7,81.99,6.92,5,39.52,4.86,2,train,1
G5-0007,9.16,93.24,2.32,8,64.51,5.87,7,4.94,7.13,2,train,0
G5-0008,8.3,90.54,2.18,8,66.35,6.51,6,5.12,5.45,3,train,1
G5-0009,8.98,82.2,3.17,6,80.49,6.26,7,24.51,9.08,4,train,0
G5-0010,14.92,90.57,3.02,7,79.22,7.1,5,34.74,8.79,2,train,0
G5-0011,7.62,79.36,2.22,4,70.55,7.72,6,13.03,10.54,1,train,1
G5-0012,8.61,97.42,3.1,7,81.12,7.5,4,21.36,0.49,3,train,0
G5-0013,13.28,86.12,3.38,8,77,7.65,5,14.23,9.38,0,train,0
G5-0014,5.46,71.53,2.15,7,56.27,7.1,4,27.54,11.66,1,train,1
G5-0015,12.67,94.48,3.12,8,81.66,6.63,3,37.51,6.82,1,train,0
G5-0016,11.67,90.19,2.88,9,74.07,7.95,4,24.59,9.45,3,train,0
G5-0017,4.34,79.48,2.1,6,70.78,6.01,7,14.05,7.07,6,train,1
G5-0018,7.71,79.94,3.02,8,80.05,6.06,5,4.47,5.1,1,train,1
G5-0019,10.47,74.05,2.75,7,78.05,6.86,6,11.75,3.57,6,train,0
G5-0020,4.69,93.1,3.2,8,87.32,7.1,4,5.15,7.63,2,train,0
G5-0021,5.86,81.53,2.23,8,53.42,6.77,3,38.42,5.9,3,train,1
G5-0022,8.7,81.21,2.94,7,57.32,6.97,4,15.39,7.84,1,train,0
G5-0023,11.06,54.73,2.53,3,69.12,6.7,4,29.22,6.46,0,train,0
G5-0024,3.99,72.89,1.79,5,52.18,6.16,5,29.75,5.92,2,train,1
G5-0025,10.29,76.99,2.78,8,83.34,5.39,8,12.24,4.18,2,train,0
G5-0026,1,59.59,1.78,4,59.58,5.26,10,8.12,2.22,2,train,1
G5-0027,9.59,75.8,2.97,5,92.32,7.12,5,33.89,7.01,2,train,0
G5-0028,9.26,83.73,2.91,8,83.84,7.06,2,3.99,10.77,0,train,0
G5-0029,11.77,99.62,2.82,7,88.51,7,3,24.06,5.41,1,train,0
G5-0030,10.72,88.31,2.74,6,77.56,6.29,5,27.69,4.38,5,train,0
G5-0031,12.9,86.55,3.04,8,82.16,7.59,4,52.83,6.99,1,train,0
G5-0032,11.05,82.67,2.31,7,77.26,7.86,7,16.01,8.72,1,train,0
G5-0033,7.54,75.86,2.46,7,79.41,6.61,3,28.14,7.46,3,train,1
G5-0034,14.13,87.51,4,7,87.33,7.28,4,30.05,7.37,3,train,0
G5-0035,4.08,75.71,2.34,5,75.06,8.02,2,35.82,8.4,1,train,1
G5-0036,11.07,68.3,2.31,9,53.46,6.72,5,31.85,7.15,3,train,1
G5-0037,14.82,90.76,2.87,6,71.21,7.28,4,38.1,5.24,2,train,0
G5-0038,6.92,90.37,1.66,5,55.31,7.25,5,21.36,6.9,0,train,0
G5-0039,9.23,100,2.58,10,83.51,7.71,3,24.89,4.94,4,train,0
G5-0040,6.72,80.17,3.15,5,79.96,7.44,4,36.58,4.04,1,train,1
G5-0041,10.23,92.23,2.83,10,83.61,7.47,5,8.48,3.32,3,train,0
G5-0042,5.33,87.84,2.91,9,76.82,7.29,5,17.61,4.81,1,train,1
G5-0043,9.64,88.58,3.16,7,85.08,7.9,2,90,11.67,1,train,0
G5-0044,10.95,84.13,2.67,8,73.51,7.8,7,8.65,6.18,2,train,1
G5-0045,13.76,93.55,2.51,10,68.99,7.11,2,9.72,9.87,7,train,0
G5-0046,10.65,87.65,2.71,9,61.62,7.82,3,6.04,8.72,0,train,0
G5-0047,5.92,79.05,2.83,7,91.19,6.56,5,66.35,5.92,4,train,0
G5-0048,10.41,80.65,3.48,7,86.67,7.77,2,61.54,4.49,2,train,0
G5-0049,2.62,78.64,2.8,5,68.09,7.14,6,20.81,8.65,3,train,1
G5-0050,7.96,87.93,2.4,6,58.78,7.78,5,14.99,2.76,1,train,0
G5-0051,10.54,77.16,4,7,94.64,7.94,5,6.88,2.93,3,train,0
G5-0052,3.74,84.48,2.27,7,66.45,6.21,6,36.84,6.66,5,train,1
G5-0053,5.16,87.48,2.77,6,68.83,6.73,4,37.62,6.49,5,train,0
G5-0054,6.85,88.75,2.68,8,75.05,6.52,7,34.57,5.36,1,train,1
G5-0055,11.35,84.82,3.05,7,75.08,6.73,5,12.11,5.27,2,train,0
G5-0056,11.18,73.54,2.08,6,73,7.4,4,9.33,7.43,2,train,0
G5-0057,6.62,83.13,2.54,7,72.09,6.64,7,44.45,7.8,3,train,0
G5-0058,14.45,90.31,3.31,7,92.1,8.07,3,9.01,12.45,2,train,0
G5-0059,11.69,86.73,3.27,5,72.66,8.02,6,39.33,9.4,4,train,0
G5-0060,7.28,76.75,3.35,6,76.95,6.69,6,4.42,9.88,2,train,0
G5-0061,2.79,77.58,2.84,6,72.17,6.74,8,19.3,3.93,3,train,0
G5-0062,8.48,72.34,2.31,6,80.5,6.86,4,61.97,7.4,2,train,1
G5-0063,16.7,100,2.93,10,82.17,7.13,4,15.85,8.72,2,train,0
G5-0064,8.27,81.63,2.81,6,62.61,7.68,6,23.43,9.94,1,train,1
G5-0065,11.11,86.07,2.65,7,65.16,6.94,5,34.5,5.29,3,train,1
G5-0066,8.12,83.99,2.02,8,59.69,6.18,8,34.51,4.69,4,train,0
G5-0067,8.48,78.69,2.34,4,46.05,5.99,5,24.66,6.67,3,train,1
G5-0068,7.45,82.29,3.07,9,70.4,5.61,8,16.69,4.62,2,train,0
G5-0069,6.51,64.23,2.32,5,46.69,5.98,9,22.91,9.48,2,train,1
G5-0070,8.44,77.46,2.66,4,71.45,6.45,4,16.3,8.39,0,train,1
G5-0071,4.84,80.46,2.89,6,82.4,5.69,6,43.59,7.02,6,train,0
G5-0072,10.81,79.7,2.17,7,63.05,7.56,5,20.91,11.03,2,train,1
G5-0073,6.39,75.22,2.08,5,69.31,5.88,8,4.48,4.77,4,train,1
