Synthetic_Record_ID,Hours_Studied,Attendance_Pct,Previous_GPA,Assignments_Completed,Quiz_Average,Sleep_Hours,Stress_Level,Commute_Minutes,Social_Hours,Caffeine_Cups,Split,Risk
G1-0001,8.46,89.95,2.55,8,72.82,6.53,4,14.24,7.95,1,train,0
G1-0002,5.57,79.2,1.87,7,64.08,6.17,6,22.21,6.88,1,train,0
G1-0003,7.58,98.91,2.63,7,81.37,8.42,2,43.86,7.58,1,train,0
G1-0004,5.03,72.13,2.02,6,64.85,6.04,9,12.6,7.7,4,train,1
G1-0005,13.92,78.51,3.13,6,81.05,6.05,5,62.46,5.73,1,train,1
G1-0006,7.64,75.43,3.41,7,81.99,6.92,5,39.52,4.86,2,train,0
G1-0007,9.16,93.24,2.32,8,64.51,5.87,7,4.94,7.13,2,train,0
G1-0008,8.3,90.54,2.18,8,66.35,6.51,6,5.12,5.45,3,train,1
G1-0009,8.98,82.2,3.17,6,80.49,6.26,7,24.51,9.08,4,train,0
G1-0010,14.92,90.57,3.02,7,79.22,7.1,5,34.74,8.79,2,train,0
G1-0011,7.62,79.36,2.22,4,70.55,7.72,6,13.03,10.54,1,train,0
G1-0012,8.61,97.42,3.1,7,81.12,7.5,4,21.36,0.49,3,train,0
G1-0013,13.28,86.12,3.38,8,77,7.65,5,14.23,9.38,0,train,0
G1-0014,5.46,71.53,2.15,7,56.27,7.1,4,27.54,11.66,1,train,1
G1-0015,12.67,94.48,3.12,8,81.66,6.63,3,37.51,6.82,1,train,0
G1-0016,11.67,90.19,2.88,9,74.07,7.95,4,24.59,9.45,3,train,0
G1-0017,4.34,79.48,2.1,6,70.78,6.01,7,14.05,7.07,6,train,1
G1-0018,7.71,79.94,3.02,8,80.05,6.06,5,4.47,5.1,1,train,0
G1-0019,10.47,74.05,2.75,7,78.05,6.86,6,11.75,3.57,6,train,0
G1-0020,4.69,93.1,3.2,8,87.32,7.1,4,5.15,7.63,2,train,0
G1-0021,5.86,81.53,2.23,8,53.42,6.77,3,38.42,5.9,3,train,1
G1-0022,8.7,81.21,2.94,7,57.32,6.97,4,15.39,7.84,1,train,0
G1-0023,11.06,54.73,2.53,3,69.12,6.7,4,29.22,6.46,0,train,1
G1-0024,3.99,72.89,1.79,5,52.18,6.16,5,29.75,5.92,2,train,1
G1-0025,10.29,76.99,2.78,8,83.34,5.39,8,12.24,4.18,2,train,1
G1-0026,1,59.59,1.78,4,59.58,5.26,10,8.12,2.22,2,train,1
G1-0027,9.59,75.8,2.97,5,92.32,7.12,5,33.89,7.01,2,train,1
G1-0028,9.26,83.73,2.91,8,83.84,7.06,2,3.99,10.77,0,train,0
G1-0029,11.77,99.62,2.82,7,88.51,7,3,24.06,5.41,1,train,0
G1-0030,10.72,88.31,2.74,6,77.56,6.29,5,27.69,4.38,5,train,0
G1-0031,12.9,86.55,3.04,8,82.16,7.59,4,52.83,6.99,1,train,0
G1-0032,11.05,82.67,2.31,7,77.26,7.86,7,16.01,8.72,1,train,0
G1-0033,7.54,75.86,2.46,7,79.41,6.61,3,28.14,7.46,3,train,1
